title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Ready for anything,radio,无家可归的,homeless,need,emergency,injured,unusual,daring,courageous,patient,sociable,intelligent,A,
,radio,需要,homeless,need,emergency,injured,unusual,daring,courageous,patient,sociable,intelligent,B,
,radio,紧急情况,homeless,need,emergency,injured,unusual,daring,courageous,patient,sociable,intelligent,C,
,radio,受伤的,homeless,need,emergency,injured,unusual,daring,courageous,patient,sociable,intelligent,D,
,radio,不寻常的,homeless,need,emergency,injured,unusual,daring,courageous,patient,sociable,intelligent,E,
,radio,大胆的,homeless,need,emergency,injured,unusual,daring,courageous,patient,sociable,intelligent,F,
,radio,有勇气的,homeless,need,emergency,injured,unusual,daring,courageous,patient,sociable,intelligent,G,
,radio,有耐心的,homeless,need,emergency,injured,unusual,daring,courageous,patient,sociable,intelligent,H,
,radio,善于交际的,homeless,need,emergency,injured,unusual,daring,courageous,patient,sociable,intelligent,I,
,radio,聪明的,homeless,need,emergency,injured,unusual,daring,courageous,patient,sociable,intelligent,J,
,radio,有决心的,determined,honest,hard-working,generous,decision,adventure,bungee jumping,mountain biking,horse riding,daring,A,
,radio,诚实的,determined,honest,hard-working,generous,decision,adventure,bungee jumping,mountain biking,horse riding,daring,B,
,radio,勤奋的,determined,honest,hard-working,generous,decision,adventure,bungee jumping,mountain biking,horse riding,daring,C,
,radio,慷慨的,determined,honest,hard-working,generous,decision,adventure,bungee jumping,mountain biking,horse riding,daring,D,
,radio,决定,determined,honest,hard-working,generous,decision,adventure,bungee jumping,mountain biking,horse riding,daring,E,
,radio,冒险,determined,honest,hard-working,generous,decision,adventure,bungee jumping,mountain biking,horse riding,daring,F,
,radio,蹦极,determined,honest,hard-working,generous,decision,adventure,bungee jumping,mountain biking,horse riding,daring,G,
,radio,山地脚车运动,determined,honest,hard-working,generous,decision,adventure,bungee jumping,mountain biking,horse riding,daring,H,
,radio,骑马,determined,honest,hard-working,generous,decision,adventure,bungee jumping,mountain biking,horse riding,daring,I,
